"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","028_A3","033B","033E-replaced","033_A1","042B","042E","042_A1","054_V2","055_V1","067_A5","115_A2","161_A2","408_A1","442B","442E","442_A3","445_A2","447_A2","447_A3","489_A1","530B","530E","530_A2","552_A1","606_A3"
"rpoD_1	rpoD","","RNA polymerase sigma factor 70	RNA polymerase sigma factor 70","1	25","1	25","1	1","1	1","93	148","274","1","","L_00751___24497","L_00634___60784","L_00636___68299","L_00630___16647","L_00679___79800","L_00625___75796","L_00395___27742","L_00654","L_00857___32533","L_00728___36462","L_00629___40655","L_00629___44416","L_01546___10751","L_00623___72065","L_00618___64558","L_00621___1282","L_00716___48428	L_00717___48430","L_01758___93871","L_00630___56973","L_00655___5085","L_00632___83659","L_00645___87588","L_00613___20378","L_01479___14376","L_00268___51892"
"murE","","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase MurE","25","25","1","1","2455","","","","L_00083___23125","L_01725___63043","L_01717___70536","L_01705___18873","L_01794___82102","L_01716___78052","L_00428___27809","L_01711","L_01873___34625","L_01993___39068","L_01706___42885","L_01740___46717","L_00798___9211","L_01687___74268","L_01678___66753","L_01687___3489","L_01994___51057","L_01012___92335","L_01723___59233","L_01725___7299","L_01762___85999","L_01799___89974","L_01735___22702","L_00708___12791","L_01143___53684"
"group_2133","","hypothetical protein","25","25","1","1","2593","","","","L_00008___22971","L_01798___63194","L_01791___70689","L_01777___19022","L_01873___82263","L_01791___78205","L_00505___27966","L_01785","L_01948___34778","L_02087___39259","L_01777___43031","L_01813___46868","L_00874___9366","L_01759___74416","L_01748___66897","L_01765___3649","L_02087___51246","L_01089___92492","L_01801___59392","L_01799___7450","L_01835___86149","L_01876___90132","L_01807___22850","L_00791___12959","L_01051___53496"
"hisH","","imidazole glycerol phosphate synthase glutamine amidotransferase subunit","25","25","1","1","2589","","","","L_00010___22975","L_01796___63190","L_01788___70683","L_01775___19018","L_01870___82257","L_01789___78201","L_00502___27960","L_01783","L_01946___34774","L_02085___39255","L_01775___43027","L_01811___46864","L_00872___9362","L_01757___74412","L_01746___66893","L_01762___3643","L_02084___51240","L_01087___92488","L_01799___59388","L_01797___7446","L_01833___86145","L_01874___90128","L_01805___22846","L_00789___12955","L_01054___53502"
"def","","peptide deformylase","25","25","1","1","2587","","","","L_00012___22979","L_01794___63186","L_01786___70679","L_01773___19014","L_01868___82253","L_01787___78197","L_00500___27956","L_01781","L_01944___34770","L_02083___39251","L_01773___43023","L_01809___46860","L_00870___9358","L_01755___74408","L_01744___66889","L_01760___3639","L_02082___51236","L_01085___92484","L_01797___59384","L_01795___7442","L_01831___86141","L_01872___90124","L_01803___22842","L_00787___12951","L_01056___53506"
"group_2136","","hypothetical protein","25","25","1","1","2585","","","","L_00014___22983","L_01792___63182","L_01784___70675","L_01771___19010","L_01866___82249","L_01785___78193","L_00498___27952","L_01779","L_01942___34766","L_02081___39247","L_01771___43019","L_01807___46856","L_00868___9354","L_01753___74404","L_01742___66885","L_01758___3635","L_02080___51232","L_01083___92480","L_01795___59380","L_01793___7438","L_01829___86137","L_01870___90120","L_01801___22838","L_00785___12947","L_01058___53510"
"group_2137","","putative holliday junction resolvase","25","25","1","1","2584","","","","L_00015___22985","L_01791___63180","L_01783___70673","L_01770___19008","L_01865___82247","L_01784___78191","L_00497___27950","L_01778","L_01941___34764","L_02080___39245","L_01770___43017","L_01806___46854","L_00867___9352","L_01752___74402","L_01741___66883","L_01757___3633","L_02079___51230","L_01082___92478","L_01794___59378","L_01792___7436","L_01828___86135","L_01869___90118","L_01800___22836","L_00784___12945","L_01059___53512"
"group_2138","","SirA-like protein","25","25","1","1","2582","","","","L_00017___22989","L_01789___63176","L_01781___70669","L_01768___19004","L_01863___82243","L_01782___78187","L_00495___27946","L_01776","L_01939___34760","L_02078___39241","L_01768___43013","L_01804___46850","L_00865___9348","L_01750___74398","L_01739___66879","L_01755___3629","L_02077___51226","L_01080___92474","L_01792___59374","L_01790___7432","L_01826___86131","L_01867___90114","L_01798___22832","L_00782___12941","L_01061___53516"
"folK","","2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase","25","25","1","1","2562","","","","L_00028___23011","L_01778___63153","L_01770___70646","L_01757___18981","L_01849___82215","L_01768___78159","L_00480___27916","L_01765","L_01926___34734","L_02062___39208","L_01757___42990","L_01793___46827","L_00851___9319","L_01739___74375","L_01728___66856","L_01744___3606","L_02062___51196","L_01066___92446","L_01778___59346","L_01778___7408","L_01815___86108","L_01856___90091","L_01787___22809","L_00768___12913","L_01078___53551"
"galE","","UDP-glucose 4-epimerase GalE","25","25","1","1","2509","","","","L_00057___23073","L_01750___63093","L_01741___70584","L_01729___18921","L_01818___82150","L_01739___78098","L_00452___27857","L_01735","L_01897___34673","L_02024___39130","L_01729___42931","L_01766___46769","L_00823___9261","L_01711___74316","L_01700___66797","L_01712___3539","L_02025___51119","L_01037___92385","L_01748___59283","L_01748___7345","L_01787___86049","L_01826___90028","L_01760___22752","L_00737___12849","L_01112___53622"
"infB","","translation initiation factor IF-2","25","25","1","1","2446","","","","L_00092___23143","L_01716___63025","L_01708___70518","L_01696___18855","L_01785___82084","L_01707___78034","L_00419___27791","L_01702","L_01864___34607","L_01981___39044","L_01697___42867","L_01731___46699","L_00789___9193","L_01678___74250","L_01669___66735","L_01678___3471","L_01983___51035","L_01003___92317","L_01714___59215","L_01716___7281","L_01753___85981","L_01790___89956","L_01726___22684","L_00699___12773","L_01154___53706"
"group_2143","","hypothetical protein","25","25","1","1","1600","","","","L_00095___23149","L_01714___63021","L_01706___70514","L_01694___18851","L_01783___82080","L_01705___78030","L_01656___30348","L_01699","L_01862___34603","L_01978___39038","L_01695___42863","L_01728___46693","L_00787___9189","L_01676___74246","L_01667___66731","L_01676___3467","L_01981___51031","L_01001___92313","L_01712___59211","L_01714___7277","L_01751___85977","L_01788___89952","L_01724___22680","L_00697___12769","L_01156___53710"
"group_2144","","BolA familiy protein","25","25","1","1","1612","","","","L_00105___23171","L_01703___62997","L_01695___70490","L_01683___18827","L_01772___82056","L_01694___78006","L_01667___30372","L_01686","L_01851___34579","L_01967___39014","L_01684___42839","L_01718___46671","L_00776___9165","L_01665___74222","L_01656___66707","L_01665___3443","L_01969___51005","L_00990___92289","L_01701___59187","L_01703___7253","L_01740___85953","L_01777___89928","L_01713___22656","L_00686___12745","L_01168___53736"
"hisC","","histidinol-phosphate aminotransferase","25","25","1","1","1616","","","","L_00109___23179","L_01699___62989","L_01690___70480","L_01679___18819","L_01767___82046","L_01690___77998","L_01671___30380","L_01682","L_01847___34571","L_01962___39004","L_01680___42831","L_01714___46663","L_00772___9157","L_01661___74214","L_01652___66699","L_01660___3433","L_01964___50995","L_00986___92281","L_01697___59179","L_01698___7243","L_01736___85945","L_01772___89918","L_01708___22646","L_00681___12735","L_01173___53746"
"rluA","","ribosomal large subunit pseudouridine synthase A","25","25","1","1","1623","","","","L_00115___23192","L_01693___62976","L_01684___70467","L_01673___18806","L_01761___82033","L_01684___77985","L_00945___28873","L_01676","L_01841___34558","L_01956___38991","L_01674___42818","L_01708___46650","L_00766___9144","L_01655___74201","L_01646___66686","L_01654___3420","L_01958___50982","L_00980___92268","L_01691___59166","L_01692___7230","L_01730___85932","L_01766___89905","L_01702___22633","L_00674___12720","L_01179___53759"
"bolA","","transcriptional regulator protein BolA","25","25","1","1","1628","","","","L_00118___23198","L_01689___62967","L_01680___70458","L_01669___18797","L_01757___82024","L_01680___77976","L_00941___28865","L_01673","L_01837___34549","L_01950___38978","L_01671___42812","L_01705___46644","L_00762___9135","L_01651___74192","L_01642___66677","L_01650___3411","L_01953___50971","L_00976___92259","L_01687___59157","L_01689___7224","L_01726___85924","L_01763___89899","L_01699___22627","L_00669___12709","L_01184___53769"
"group_2148","","M48 family zinc metallopeptidase","25","25","1","1","1629","","","","L_00119___23200","L_01688___62965","L_01679___70456","L_01668___18795","L_01756___82022","L_01679___77974","L_00940___28863","L_01672","L_01836___34547","L_01949___38976","L_01670___42810","L_01704___46642","L_00761___9133","L_01650___74190","L_01641___66675","L_01649___3409","L_01952___50969","L_00975___92257","L_01686___59155","L_01688___7222","L_01725___85922","L_01762___89897","L_01698___22625","L_00668___12707","L_01185___53771"
"pstS","","Phosphate-binding protein pstS precursor","25","25","1","1","1630","","","","L_00120___23202","L_01687___62963","L_01678___70454","L_01667___18793","L_01755___82020","L_01678___77972","L_00939___28861","L_01671","L_01835___34545","L_01948___38974","L_01669___42808","L_01703___46640","L_00760___9131","L_01649___74188","L_01640___66673","L_01648___3407","L_01951___50967","L_00974___92255","L_01685___59153","L_01687___7220","L_01724___85920","L_01761___89895","L_01697___22623","L_00667___12705","L_01186___53773"
"group_2150","","phosphotransferase system EIIC family protein","25","25","1","1","1649","","","","L_00136___23235","L_01670___62928","L_01662___70421","L_01651___18760","L_01739___81987","L_01662___77939","L_00923___28828","L_01655","L_01819___34512","L_01927___38931","L_01653___42775","L_01687___46607","L_00744___9098","L_01633___74155","L_01624___66640","L_01632___3374","L_01935___50934","L_00958___92222","L_01669___59120","L_01671___7187","L_01708___85887","L_01745___89862","L_01681___22590","L_00650___12670","L_01203___53808"
"group_2151","","hypothetical protein","25","25","1","1","1651","","","","L_00138___23239","L_01668___62924","L_01660___70417","L_01649___18756","L_01737___81983","L_01660___77935","L_00921___28824","L_01653","L_01817___34508","L_01925___38927","L_01651___42771","L_01685___46603","L_00742___9094","L_01631___74151","L_01622___66636","L_01630___3370","L_01932___50928","L_00956___92218","L_01667___59116","L_01669___7183","L_01706___85883","L_01743___89858","L_01679___22586","L_00648___12666","L_01205___53812"
"group_2152","","hypothetical protein","25","25","1","1","1652","","","","L_00139___23241","L_01667___62922","L_01659___70415","L_01648___18754","L_01736___81981","L_01659___77933","L_00920___28822","L_01652","L_01816___34506","L_01924___38925","L_01650___42769","L_01684___46601","L_00741___9092","L_01630___74149","L_01621___66634","L_01629___3368","L_01931___50926","L_00955___92216","L_01666___59114","L_01668___7181","L_01705___85881","L_01742___89856","L_01678___22584","L_00647___12664","L_01206___53814"
"occM","","octopine transport system permease protein OccM","25","25","1","1","1672","","","","L_00173___23310","L_01646___62879","L_01637___70370","L_01627___18711","L_01714___81936","L_01638___77890","L_01441___29906","L_01631","L_01546___33952","L_01899___38873","L_01629___42726","L_01663___46558","L_00720___9049","L_01609___74106","L_01600___66591","L_01608___3325","L_01908___50879","L_00934___92173","L_01645___59071","L_01647___7138","L_01684___85838","L_01721___89813","L_01657___22541","L_00626___12621","L_01230___53863"
"group_2156","","extracellular solute-binding protein family 3","25","25","1","1","1675","","","","L_00175___23314","L_01644___62874","L_01635___70366","L_01625___18706","L_01712___81931","L_01636___77885","L_01443___29910","L_01629","L_01548___33956","L_01896___38866","L_01627___42721","L_01661___46553","L_00718___9044","L_01607___74101","L_01598___66586","L_01606___3320","L_01906___50874","L_00932___92168","L_01643___59066","L_01645___7133","L_01682___85833","L_01719___89808","L_01655___22536","L_00624___12616","L_01232___53867"
"group_2157","","putative pterin-4-alpha-carbinolamine dehydratase","25","25","1","1","1693","","","","L_00188___23343","L_01631___62846","L_01621___70336","L_01612___18678","L_01699___81903","L_01623___77857","L_01457___29941","L_01616","L_01562___33987","L_01882___38836","L_01614___42693","L_01648___46525","L_00705___9016","L_01594___74073","L_01584___66556","L_01593___3292","L_01891___50842","L_00918___92138","L_01630___59038","L_01632___7105","L_01669___85805","L_01706___89780","L_01642___22508","L_00610___12586","L_01249___53904"
"group_2158","","HNH endonuclease family protein","25","25","1","1","1699","","","","L_00192___23351","L_01626___62836","L_01616___70326","L_01607___18668","L_01694___81893","L_01618___77847","L_01462___29951","L_01612","L_01566___33995","L_01876___38824","L_01610___42685","L_01644___46517","L_00700___9006","L_01590___74065","L_01580___66548","L_01589___3284","L_01886___50832","L_00913___92128","L_01625___59028","L_01627___7095","L_01664___85795","L_01701___89770","L_01637___22498","L_00605___12576","L_01254___53914"
"group_2159","","pepSY-associated membrane protein","25","25","1","1","1700","","","","L_00193___23353","L_01625___62834","L_01615___70324","L_01606___18666","L_01693___81891","L_01617___77845","L_01463___29953","L_01611","L_01567___33997","L_01875___38822","L_01609___42683","L_01643___46515","L_00699___9004","L_01589___74063","L_01579___66546","L_01588___3282","L_01885___50830","L_00912___92126","L_01624___59026","L_01626___7093","L_01663___85793","L_01700___89768","L_01636___22496","L_00604___12574","L_01255___53916"
"pgsA","","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","25","25","1","1","1720","","","","L_00212___23395","L_01606___62792","L_01596___70282","L_01587___18624","L_01674___81849","L_01598___77803","L_01482___29995","L_01592","L_01586___34039","L_01855___38778","L_01590___42641","L_01624___46473","L_00680___8962","L_01571___74023","L_01560___66504","L_01569___3240","L_01865___50787","L_00893___92084","L_01605___58984","L_01607___7051","L_01644___85751","L_01680___89725","L_01617___22454","L_00585___12532","L_01275___53960"
"aat","","leucyl/phenylalanyl-tRNA-protein transferase","25","25","1","1","1727","","","","L_00232___23435","L_01599___62778","L_01588___70266","L_01580___18610","L_01652___81805","L_01578___77763","L_01503___30037","L_01584","L_01606___34079","L_01848___38764","L_01583___42627","L_01605___46435","L_00672___8946","L_01563___74007","L_01553___66490","L_01561___3224","L_01845___50747","L_00873___92044","L_01583___58940","L_01600___7037","L_01626___85715","L_01660___89685","L_01598___22416","L_00578___12518","L_01284___53978"
"group_2164","","hypothetical protein","25","25","1","1","1748","","","","L_00243___23457","L_01588___62756","L_01577___70244","L_01569___18588","L_01641___81783","L_01567___77741","L_01514___30059","L_01573","L_01617___34101","L_01836___38740","L_01572___42605","L_01594___46413","L_00660___8922","L_01551___73983","L_01540___66464","L_01549___3200","L_01830___50717","L_00862___92022","L_01571___58916","L_01589___7015","L_01615___85693","L_01648___89661","L_01587___22394","L_00566___12494","L_01299___54008"
